"CdTe - RawData"
"Wavelength nm.","T%"
250.00,-0.03220
252.00,-0.03319
254.00,-0.03415
256.00,-0.03429
258.00,-0.03442
260.00,-0.03482
262.00,-0.03310
264.00,-0.03360
266.00,-0.03261
268.00,-0.03308
270.00,-0.03273
272.00,-0.03264
274.00,-0.03261
276.00,-0.03114
278.00,-0.03065
280.00,-0.02890
282.00,-0.02553
284.00,-0.02095
286.00,-0.01377
288.00,-0.00122
290.00,0.01480
292.00,0.03856
294.00,0.06750
296.00,0.10331
298.00,0.14196
300.00,0.18769
302.00,0.24534
304.00,0.30842
306.00,0.37025
308.00,0.43047
310.00,0.49524
312.00,0.56341
314.00,0.62986
316.00,0.69060
318.00,0.74834
320.00,0.80037
322.00,0.84874
324.00,0.89968
326.00,0.94690
328.00,0.98874
330.00,1.03555
332.00,1.05580
334.00,1.08658
336.00,1.09669
338.00,1.13021
340.00,1.14783
342.00,1.16157
344.00,1.16780
346.00,1.17596
348.00,1.18716
350.00,1.20501
352.00,1.22317
354.00,1.21118
356.00,1.21275
358.00,1.21481
360.00,1.24900
362.00,1.25877
364.00,1.26042
366.00,1.25080
368.00,1.25237
370.00,1.24432
372.00,1.25767
374.00,1.24345
376.00,1.24497
378.00,1.23577
380.00,1.25438
382.00,1.27220
384.00,1.26457
386.00,1.25863
388.00,1.24515
390.00,1.24621
392.00,1.37150
394.00,1.50109
396.00,1.63125
398.00,1.63132
400.00,1.63532
402.00,1.63726
404.00,1.63781
406.00,1.63535
408.00,1.63952
410.00,1.64061
412.00,1.64568
414.00,1.65485
416.00,1.66872
418.00,1.67443
420.00,1.67159
422.00,1.66852
424.00,1.66741
426.00,1.66767
428.00,1.66808
430.00,1.66648
432.00,1.67669
434.00,1.68011
436.00,1.68429
438.00,1.67821
440.00,1.67662
442.00,1.67841
444.00,1.68046
446.00,1.68118
448.00,1.68202
450.00,1.68343
452.00,1.68454
454.00,1.68000
456.00,1.67481
458.00,1.66709
460.00,1.66212
462.00,1.65511
464.00,1.65244
466.00,1.65437
468.00,1.66683
470.00,1.68626
472.00,1.72032
474.00,1.75287
476.00,1.78569
478.00,1.79737
480.00,1.80134
482.00,1.79633
484.00,1.79036
486.00,1.78550
488.00,1.77736
490.00,1.77276
492.00,1.76669
494.00,1.76390
496.00,1.76102
498.00,1.76090
500.00,1.75793
502.00,1.75757
504.00,1.75488
506.00,1.75704
508.00,1.75713
510.00,1.76032
512.00,1.76412
514.00,1.76413
516.00,1.76555
518.00,1.76359
520.00,1.76512
522.00,1.76264
524.00,1.76587
526.00,1.76979
528.00,1.77429
530.00,1.77159
532.00,1.77114
534.00,1.77211
536.00,1.77671
538.00,1.78123
540.00,1.77946
542.00,1.78104
544.00,1.77976
546.00,1.78173
548.00,1.77857
550.00,1.77933
552.00,1.78100
554.00,1.78327
556.00,1.77869
558.00,1.78071
560.00,1.78516
562.00,1.79234
564.00,1.79140
566.00,1.78956
568.00,1.79152
570.00,1.79507
572.00,1.79862
574.00,1.79970
576.00,1.80250
578.00,1.80707
580.00,1.80828
582.00,1.81156
584.00,1.81240
586.00,1.81544
588.00,1.81801
590.00,1.82074
592.00,1.82147
594.00,1.82153
596.00,1.82037
598.00,1.82327
600.00,1.82267
602.00,1.82469
604.00,1.82475
606.00,1.82491
608.00,1.82625
610.00,1.82610
612.00,1.82820
614.00,1.83057
616.00,1.83258
618.00,1.83458
620.00,1.83725
622.00,1.83838
624.00,1.84043
626.00,1.84050
628.00,1.84152
630.00,1.84561
632.00,1.84429
634.00,1.84818
636.00,1.84556
638.00,1.84642
640.00,1.84863
642.00,1.85333
644.00,1.85697
646.00,1.85244
648.00,1.85085
650.00,1.84710
652.00,1.84471
654.00,1.83716
656.00,1.82691
658.00,1.81728
660.00,1.82002
662.00,1.84126
664.00,1.87543
666.00,1.91243
668.00,1.94983
670.00,1.98112
672.00,1.99252
674.00,1.98730
676.00,1.97694
678.00,1.96419
680.00,1.94883
682.00,1.93577
684.00,1.92594
686.00,1.92391
688.00,1.91461
690.00,1.91243
692.00,1.90775
694.00,1.90972
696.00,1.90763
698.00,1.91523
700.00,1.92179
702.00,1.92332
704.00,1.91593
706.00,1.91735
708.00,1.91892
710.00,1.92179
712.00,1.91532
714.00,1.91880
716.00,1.92266
718.00,1.92878
720.00,1.93438
722.00,1.93763
724.00,1.94835
726.00,1.95890
728.00,1.96940
730.00,1.97546
732.00,1.97749
734.00,1.98439
736.00,1.98914
738.00,1.99943
740.00,2.01441
742.00,2.03571
744.00,2.05510
746.00,2.07176
748.00,2.08881
750.00,2.11193
752.00,2.13448
754.00,2.17135
756.00,2.21730
758.00,2.27986
760.00,2.33891
762.00,2.41110
764.00,2.48881
766.00,2.59210
768.00,2.70905
770.00,2.85897
772.00,3.03067
774.00,3.22327
776.00,3.45260
778.00,3.71248
780.00,4.01561
782.00,4.33924
784.00,4.68931
786.00,5.09202
788.00,5.52527
790.00,6.00645
792.00,6.51525
794.00,7.06963
796.00,7.68735
798.00,8.35830
800.00,9.11369
802.00,9.87039
804.00,10.65798
806.00,11.46218
808.00,12.30033
810.00,13.16690
812.00,14.00962
