Wavelength nm.	RawData ...	RawData ...	RawData ...
400.00	-0.02011	 	-0.01846
402.00	-0.02056	 	-0.01863
404.00	-0.01937	 	-0.01872
406.00	-0.02003	 	-0.01940
408.00	-0.02399	 	-0.02047
410.00	-0.02437	 	-0.02148
412.00	-0.02398	 	-0.02132
414.00	-0.01934	 	-0.02078
416.00	-0.02332	 	-0.02057
418.00	-0.02139	 	-0.02094
420.00	-0.02259	 	-0.02185
422.00	-0.02038	 	-0.02129
424.00	-0.02190	 	-0.02075
426.00	-0.02131	 	-0.01967
428.00	-0.02233	 	-0.01989
430.00	-0.02237	 	-0.01986
432.00	-0.02641	 	-0.01982
434.00	-0.02691	 	-0.02049
436.00	-0.02786	 	-0.02108
438.00	-0.02240	 	-0.02156
440.00	-0.01879	 	-0.02011
442.00	-0.02023	 	-0.01965
444.00	-0.02257	 	-0.01935
446.00	-0.02248	 	-0.01994
448.00	-0.02179	 	-0.01978
450.00	-0.01953	 	-0.01991
452.00	-0.02092	 	-0.02095
454.00	-0.02158	 	-0.02141
456.00	-0.02258	 	-0.02101
458.00	-0.02389	 	-0.01967
460.00	-0.02307	 	-0.01979
462.00	-0.02156	 	-0.02018
464.00	-0.01850	 	-0.02070
466.00	-0.01652	 	-0.02015
468.00	-0.01911	 	-0.01985
470.00	-0.02192	 	-0.02010
472.00	-0.02339	 	-0.02068
474.00	-0.02239	 	-0.02079
476.00	-0.02072	 	-0.02057
478.00	-0.02205	 	-0.02014
480.00	-0.02303	 	-0.02071
482.00	-0.02302	 	-0.02054
484.00	-0.02122	 	-0.02094
486.00	-0.01893	 	-0.02030
488.00	-0.02087	 	-0.01955
490.00	-0.02093	 	-0.01890
492.00	-0.02011	 	-0.01906
494.00	-0.01848	 	-0.02062
496.00	-0.02009	 	-0.02040
498.00	-0.02296	 	-0.02006
500.00	-0.02161	 	-0.01949
502.00	-0.01959	 	-0.02020
504.00	-0.01761	 	-0.02108
506.00	-0.02060	 	-0.02113
508.00	-0.02219	 	-0.02108
510.00	-0.02196	 	-0.02039
512.00	-0.02151	 	-0.02032
514.00	-0.01935	 	-0.01991
516.00	-0.02029	 	-0.02020
518.00	-0.01913	 	-0.02041
520.00	-0.01938	 	-0.02059
522.00	-0.02036	 	-0.02088
524.00	-0.02028	 	-0.02073
526.00	-0.01982	 	-0.02061
528.00	-0.01745	 	-0.01990
530.00	-0.01648	 	-0.01944
532.00	-0.01616	 	-0.01917
534.00	-0.01742	 	-0.01932
536.00	-0.01764	 	-0.01913
538.00	-0.01982	 	-0.01922
540.00	-0.02053	 	-0.01935
542.00	-0.02066	 	-0.01960
544.00	-0.02048	 	-0.01967
546.00	-0.01927	 	-0.01939
548.00	-0.02139	 	-0.01911
550.00	-0.02067	 	-0.01947
552.00	-0.02240	 	-0.01967
554.00	-0.02013	 	-0.02008
556.00	-0.02221	 	-0.02005
558.00	-0.02134	 	-0.02004
560.00	-0.02287	 	-0.01984
562.00	-0.02004	 	-0.01930
564.00	-0.01879	 	-0.01914
566.00	-0.01747	 	-0.01936
568.00	-0.01942	 	-0.01933
570.00	-0.01927	 	-0.01949
572.00	-0.01955	 	-0.01940
574.00	-0.01847	 	-0.01975
576.00	-0.01944	 	-0.01983
578.00	-0.01956	 	-0.01971
580.00	-0.01902	 	-0.01959
582.00	-0.01970	 	-0.01986
584.00	-0.02066	 	-0.01985
586.00	-0.02232	 	-0.01961
588.00	-0.02259	 	-0.01924
590.00	-0.02230	 	-0.01958
592.00	-0.02053	 	-0.01970
594.00	-0.01760	 	-0.01961
596.00	-0.01593	 	-0.01878
598.00	-0.01612	 	-0.01941
600.00	-0.01788	 	-0.01979
602.00	-0.01761	 	-0.02039
604.00	-0.01786	 	-0.02010
606.00	-0.01703	 	-0.02016
608.00	-0.01886	 	-0.02023
610.00	-0.01941	 	-0.01978
612.00	-0.01917	 	-0.01901
614.00	-0.01723	 	-0.01933
616.00	-0.01682	 	-0.01947
618.00	-0.01779	 	-0.02078
620.00	-0.01869	 	-0.02011
622.00	-0.01893	 	-0.01964
624.00	-0.02026	 	-0.01847
626.00	-0.01960	 	-0.01800
628.00	-0.02148	 	-0.01852
630.00	-0.01791	 	-0.01854
632.00	-0.01858	 	-0.01964
634.00	-0.01634	 	-0.01872
636.00	-0.01748	 	-0.01940
638.00	-0.01621	 	-0.01865
640.00	-0.01741	 	-0.01906
642.00	-0.01994	 	-0.01779
644.00	-0.02054	 	-0.01757
646.00	-0.01704	 	-0.01764
648.00	-0.01571	 	-0.01748
650.00	-0.01491	0.94285	-0.01746
652.00	-0.01531	0.94162	-0.01719
654.00	-0.01395	0.94763	-0.01708
656.00	-0.01481	0.96045	-0.01674
658.00	-0.01545	0.96837	-0.01658
660.00	-0.01695	0.96322	-0.01601
662.00	-0.01821	0.94513	-0.01603
664.00	-0.01893	0.91978	-0.01656
666.00	-0.01789	0.89146	-0.01730
668.00	-0.01532	0.86391	-0.01713
670.00	-0.01592	0.84788	-0.01636
672.00	-0.01553	0.83826	-0.01643
674.00	-0.01538	0.84867	-0.01693
676.00	-0.01491	0.85613	-0.01618
678.00	-0.01318	0.88280	-0.01562
680.00	-0.01177	0.89276	-0.01381
682.00	-0.01080	0.89998	-0.01363
684.00	-0.01327	0.90125	-0.01260
686.00	-0.01503	0.90447	-0.01162
688.00	-0.01432	0.92618	-0.01067
690.00	-0.01184	0.93596	-0.01017
692.00	-0.01013	0.94950	-0.00997
694.00	-0.00763	0.94768	-0.00853
696.00	-0.00765	0.95104	-0.00686
698.00	-0.00670	0.94470	-0.00564
700.00	-0.00500	0.94801	-0.00496
702.00	-0.00141	0.94069	-0.00397
704.00	0.00065	0.96021	-0.00212
706.00	0.00111	0.97445	0.00001
708.00	0.00126	0.99498	0.00208
710.00	0.00244	0.98978	0.00384
712.00	0.00395	0.98688	0.00541
714.00	0.00590	0.98609	0.00738
716.00	0.00899	0.98462	0.01011
718.00	0.01114	0.98740	0.01379
720.00	0.01505	0.99184	0.01747
722.00	0.01597	1.00338	0.02074
724.00	0.02362	1.01899	0.02452
726.00	0.02707	1.02222	0.02864
728.00	0.03350	1.02953	0.03395
730.00	0.03688	1.02764	0.03971
732.00	0.04271	1.03630	0.04725
734.00	0.04982	1.04913	0.05583
736.00	0.06016	1.07291	0.06502
738.00	0.07215	1.09288	0.07474
740.00	0.08547	1.10862	0.08569
742.00	0.09599	1.10909	0.09882
744.00	0.10984	1.11855	0.11497
746.00	0.12939	1.13325	0.13384
748.00	0.15222	1.16353	0.15694
750.00	0.18051	1.19921	0.18329
752.00	0.21007	1.23272	0.21613
754.00	0.24473	1.25387	0.25197
756.00	0.28212	1.27729	0.29558
758.00	0.32979	1.32613	0.34731
760.00	0.40678	1.40012	0.41060
762.00	0.47067	1.48003	0.48578
764.00	0.54885	1.56683	0.57723
766.00	0.62059	1.65129	0.68421
768.00	0.74719	1.77470	0.81287
770.00	0.88114	1.90930	0.96161
772.00	1.05005	2.11420	1.14444
774.00	1.25049	2.25486	1.34637
776.00	1.47010	2.44550	1.58697
778.00	1.71104	2.65007	1.84720
780.00	2.00793	2.97609	2.14894
782.00	2.38715	3.34420	2.47578
784.00	2.72988	3.67224	2.82880
786.00	3.09732	4.03833	3.21863
788.00	3.53494	4.49998	3.65576
790.00	3.99808	4.93287	4.12520
792.00	4.51764	5.48237	4.65145
794.00	5.09168	6.05627	5.22650
796.00	5.66994	6.67382	5.85616
798.00	6.29229	7.29150	6.50984
800.00	7.01500	7.98638	7.24051
802.00	7.81845	8.79025	8.03131
804.00	8.64916	9.59503	8.85654
806.00	9.41684	10.36300	9.68557
808.00	10.42870	11.31294	10.57987
810.00	11.31487	12.16323	11.46159
812.00	12.16093	13.02036	12.31922
814.00	12.87441	13.80444	13.11517
816.00	13.66579	14.73689	13.86461
818.00	14.32198	15.39152	14.47827
820.00	14.87754	15.82627	14.95442
822.00	15.31403	16.15074	15.35676
824.00	15.63124	16.49858	15.70416
826.00	15.92925	16.83608	15.96384
828.00	16.18895	17.10377	16.21406
830.00	16.56422	17.37549	16.46435
832.00	16.83101	17.72529	16.84648
834.00	17.11655	18.03850	17.14483
836.00	17.57219	18.51494	17.63448
838.00	18.13381	18.95342	18.20484
840.00	19.06074	19.54404	19.01031
842.00	19.84487	20.31830	19.76820
844.00	20.76290	21.26214	20.61025
846.00	21.52533	22.25874	21.58848
848.00	22.41518	23.07137	22.64217
850.00	23.51986	24.16459	23.59752
852.00	24.46854	25.09069	24.30968
854.00	25.43715	25.87399	25.00987
856.00	25.83273	26.19985	25.58488
858.00	26.28680	26.63860	26.18238
860.00	26.43846	27.16138	26.46710
862.00	26.49613	27.28860	26.54324
864.00	26.40319	27.21552	26.42082
866.00	26.04079	26.68688	26.14324
868.00	25.91740	26.44668	26.06879
870.00	25.34752	25.79715	25.80009
872.00	25.63487	25.73757	25.67414
874.00	24.86611	25.39192	25.00949
876.00	24.83386	25.47170	24.57209
878.00	24.32499	25.95985	24.60311
880.00	25.12474	26.08471	25.04843
882.00	25.26659	26.11947	25.49893
884.00	25.39141	25.31535	25.24197
886.00	25.17168	26.53224	25.26735
888.00	26.47738	28.03099	25.80122
890.00	27.09142	29.66009	27.34459
892.00	28.82398	29.11154	29.33738
894.00	28.15476	30.15475	30.05483
896.00	30.52691	30.01815	31.64421
898.00	30.12227	32.30291	31.31462
900.00	31.94279	32.19706	32.64359
902.00	31.86403	33.69056	32.56477
904.00	33.91743	33.97952	34.18427
906.00	35.06453	35.26205	35.34900
