"LOLTOT_Slow_CdTe_400-1000 - RawData"
"Wavelength nm.","T%"
400.00,-0.01846
402.00,-0.01863
404.00,-0.01872
406.00,-0.01940
408.00,-0.02047
410.00,-0.02148
412.00,-0.02132
414.00,-0.02078
416.00,-0.02057
418.00,-0.02094
420.00,-0.02185
422.00,-0.02129
424.00,-0.02075
426.00,-0.01967
428.00,-0.01989
430.00,-0.01986
432.00,-0.01982
434.00,-0.02049
436.00,-0.02108
438.00,-0.02156
440.00,-0.02011
442.00,-0.01965
444.00,-0.01935
446.00,-0.01994
448.00,-0.01978
450.00,-0.01991
452.00,-0.02095
454.00,-0.02141
456.00,-0.02101
458.00,-0.01967
460.00,-0.01979
462.00,-0.02018
464.00,-0.02070
466.00,-0.02015
468.00,-0.01985
470.00,-0.02010
472.00,-0.02068
474.00,-0.02079
476.00,-0.02057
478.00,-0.02014
480.00,-0.02071
482.00,-0.02054
484.00,-0.02094
486.00,-0.02030
488.00,-0.01955
490.00,-0.01890
492.00,-0.01906
494.00,-0.02062
496.00,-0.02040
498.00,-0.02006
500.00,-0.01949
502.00,-0.02020
504.00,-0.02108
506.00,-0.02113
508.00,-0.02108
510.00,-0.02039
512.00,-0.02032
514.00,-0.01991
516.00,-0.02020
518.00,-0.02041
520.00,-0.02059
522.00,-0.02088
524.00,-0.02073
526.00,-0.02061
528.00,-0.01990
530.00,-0.01944
532.00,-0.01917
534.00,-0.01932
536.00,-0.01913
538.00,-0.01922
540.00,-0.01935
542.00,-0.01960
544.00,-0.01967
546.00,-0.01939
548.00,-0.01911
550.00,-0.01947
552.00,-0.01967
554.00,-0.02008
556.00,-0.02005
558.00,-0.02004
560.00,-0.01984
562.00,-0.01930
564.00,-0.01914
566.00,-0.01936
568.00,-0.01933
570.00,-0.01949
572.00,-0.01940
574.00,-0.01975
576.00,-0.01983
578.00,-0.01971
580.00,-0.01959
582.00,-0.01986
584.00,-0.01985
586.00,-0.01961
588.00,-0.01924
590.00,-0.01958
592.00,-0.01970
594.00,-0.01961
596.00,-0.01878
598.00,-0.01941
600.00,-0.01979
602.00,-0.02039
604.00,-0.02010
606.00,-0.02016
608.00,-0.02023
610.00,-0.01978
612.00,-0.01901
614.00,-0.01933
616.00,-0.01947
618.00,-0.02078
620.00,-0.02011
622.00,-0.01964
624.00,-0.01847
626.00,-0.01800
628.00,-0.01852
630.00,-0.01854
632.00,-0.01964
634.00,-0.01872
636.00,-0.01940
638.00,-0.01865
640.00,-0.01906
642.00,-0.01779
644.00,-0.01757
646.00,-0.01764
648.00,-0.01748
650.00,-0.01746
652.00,-0.01719
654.00,-0.01708
656.00,-0.01674
658.00,-0.01658
660.00,-0.01601
662.00,-0.01603
664.00,-0.01656
666.00,-0.01730
668.00,-0.01713
670.00,-0.01636
672.00,-0.01643
674.00,-0.01693
676.00,-0.01618
678.00,-0.01562
680.00,-0.01381
682.00,-0.01363
684.00,-0.01260
686.00,-0.01162
688.00,-0.01067
690.00,-0.01017
692.00,-0.00997
694.00,-0.00853
696.00,-0.00686
698.00,-0.00564
700.00,-0.00496
702.00,-0.00397
704.00,-0.00212
706.00,0.00001
708.00,0.00208
710.00,0.00384
712.00,0.00541
714.00,0.00738
716.00,0.01011
718.00,0.01379
720.00,0.01747
722.00,0.02074
724.00,0.02452
